,table_a,column_a,table_b,column_b,similarity,type,correct
90,imdb_1,YearRange,metacritic_3,release year,0.6818261742591858,textual,True
91,metacritic_3,title,tmdb_3,title,0.6817967295646667,textual,True
92,imdb_4,directors,rotten_tomatoes_1,Director,0.6803321242332458,textual,True
93,amazon_1,title,walmart_1,name,0.680033802986145,textual,True
94,metacritic_3,id,rotten_tomatoes_4,movie_ind,0.6798290014266968,numerical,True
95,imdb_3,Creators,rotten_tomatoes_1,Creator,0.677047073841095,textual,True
96,roger_ebert_1,movie_name,tmdb_2,name,0.6765193343162537,textual,True
97,imdb_4,actors,roger_ebert_1,actors,0.6764981150627136,textual,True
98,metacritic_1,Genre,rotten_tomatoes_2,Genre,0.6757538914680481,textual,True
99,imdb_2,actors,tmdb_1,actor(s),0.6757330298423767,textual,True
100,metacritic_3,starring,rotten_tomatoes_2,Creators,0.6729455590248108,textual,False
101,metacritic_4,director,tmdb_2,director,0.6725492477416992,textual,True
102,metacritic_1,_id,walmart_1,_id,0.6722970008850098,numerical,True
103,tmdb_3,directors,walmart_1,directors,0.6718685626983643,textual,True
104,metacritic_1,User Rating,rotten_tomatoes_1,RatingValue,0.6718088984489441,numerical,True
105,rotten_tomatoes_1,Cast,rotten_tomatoes_3,star4,0.6714354753494263,textual,True
106,metacritic_3,genres,tmdb_2,genres,0.6713799834251404,textual,True
107,metacritic_4,director,tmdb_4,directors,0.6710150241851807,textual,True
108,amazon_1,id,rotten_tomatoes_3,id,0.6702262163162231,numerical,True
109,imdb_1,Id,roger_ebert_1,id,0.6659060120582581,textual,True
110,imdb_3,ID,rotten_tomatoes_2,ID,0.6646773219108582,mixed,True
111,roger_ebert_1,movie_name,tmdb_3,title,0.6638984084129333,textual,True
112,metacritic_1,_id,metacritic_3,_id,0.6628920435905457,numerical,True
113,metacritic_4,name,roger_ebert_1,movie_name,0.6613783240318298,textual,True
114,imdb_4,directors,rotten_tomatoes_3,star1,0.6613286137580872,textual,False
115,imdb_4,duration,roger_ebert_1,duration,0.6609833836555481,textual,True
116,amazon_1,year,rotten_tomatoes_3,year,0.6592279672622681,numerical,True
117,imdb_1,Genre,metacritic_1,Genre,0.6589505672454834,textual,True
118,metacritic_1,Name,rotten_tomatoes_4,name,0.6579515933990479,textual,True
119,metacritic_4,_id,roger_ebert_1,id,0.6573612093925476,numerical,True
120,imdb_1,YearRange,tmdb_2,year,0.6569892764091492,textual,True
121,imdb_4,year,rotten_tomatoes_4,year,0.6560508608818054,numerical,True
122,amazon_1,title,tmdb_2,name,0.6560168266296387,textual,True
123,rotten_tomatoes_1,Year,tmdb_3,year,0.6558037400245667,numerical,True
124,rotten_tomatoes_2,Cast,rotten_tomatoes_3,star5,0.6555929183959961,textual,True
125,amazon_1,year,tmdb_4,year,0.6544286608695984,numerical,True
126,metacritic_1,Name,roger_ebert_1,movie_name,0.6535446643829346,textual,True
127,metacritic_3,_id,walmart_1,_id,0.6525576710700989,numerical,True
128,metacritic_1,Actors,roger_ebert_1,actors,0.6516157388687134,textual,True
129,imdb_4,year,rotten_tomatoes_3,year,0.6515906453132629,numerical,True
130,imdb_3,Cast,roger_ebert_1,actors,0.6512197256088257,textual,True
131,metacritic_1,_id,tmdb_4,_id,0.650918185710907,numerical,True
132,roger_ebert_1,id,tmdb_3,_id,0.6507839560508728,numerical,True
133,imdb_4,movie_name,metacritic_3,title,0.6505500078201294,textual,True
134,amazon_1,id,imdb_1,Id,0.6501569747924805,textual,True
135,roger_ebert_1,actors,rotten_tomatoes_2,Cast,0.6494374871253967,textual,True
136,amazon_1,id,tmdb_3,_id,0.6493181586265564,numerical,True
137,metacritic_3,starring,rotten_tomatoes_2,Cast,0.6488308906555176,textual,True
138,amazon_1,director,imdb_4,directors,0.6487569808959961,textual,True
139,metacritic_3,director,tmdb_2,director,0.6481475830078125,textual,True
140,imdb_3,Cast,metacritic_3,starring,0.6481248140335083,textual,True
141,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.6466259956359863,textual,True
142,imdb_4,movie_name,tmdb_3,title,0.6462035775184631,textual,True
143,rotten_tomatoes_4,year,tmdb_2,year,0.6452537178993225,numerical,True
144,rotten_tomatoes_1,Id,walmart_1,_id,0.6451801061630249,textual,True
145,imdb_2,year,roger_ebert_1,year,0.6434099674224854,numerical,True
146,rotten_tomatoes_2,Creators,rotten_tomatoes_3,star4,0.6433372497558594,textual,False
147,imdb_1,Creator,rotten_tomatoes_3,star4,0.6428744196891785,textual,False
148,tmdb_3,actors,walmart_1,stars,0.6427509188652039,textual,True
149,metacritic_3,release year,rotten_tomatoes_4,year,0.6409664154052734,numerical,True
150,roger_ebert_1,actors,walmart_1,stars,0.6409245133399963,textual,True
151,imdb_1,Cast,rotten_tomatoes_2,Cast,0.6409096121788025,textual,True
152,amazon_1,time,walmart_1,duration,0.6406978368759155,textual,True
153,imdb_4,id,metacritic_2,_id,0.6399603486061096,numerical,True
154,imdb_3,Genre,metacritic_1,Genre,0.6398527026176453,textual,True
155,roger_ebert_1,actors,rotten_tomatoes_3,star4,0.6397886872291565,textual,True
156,imdb_4,id,rotten_tomatoes_4,_id,0.639541745185852,numerical,True
157,rotten_tomatoes_4,star,walmart_1,stars,0.6395303606987,textual,True
158,roger_ebert_1,directors,tmdb_1,director(s),0.6389881372451782,textual,True
159,imdb_1,Director,walmart_1,directors,0.6387046575546265,textual,True
160,tmdb_3,writers,walmart_1,stars,0.6384848952293396,textual,False
161,tmdb_2,director,tmdb_3,directors,0.6379225850105286,textual,True
162,rotten_tomatoes_1,Creator,rotten_tomatoes_2,Creators,0.6372992992401123,textual,True
163,amazon_1,star,imdb_4,directors,0.6372767090797424,textual,False
164,metacritic_3,release year,rotten_tomatoes_1,Year,0.6371012330055237,numerical,True
165,rotten_tomatoes_1,Actors,rotten_tomatoes_3,star4,0.6369961500167847,textual,True
166,metacritic_1,Year,tmdb_1,year,0.6365253329277039,numerical,True
167,rotten_tomatoes_1,Language,tmdb_3,language,0.633493959903717,textual,True
168,metacritic_2,release_year,tmdb_4,year,0.6330041289329529,numerical,True
169,metacritic_3,title,rotten_tomatoes_4,name,0.6326081156730652,textual,True
170,imdb_4,year,rotten_tomatoes_1,Year,0.6313203573226929,numerical,True
171,metacritic_3,_id,rotten_tomatoes_4,_id,0.6310697793960571,numerical,True
172,imdb_3,Creators,rotten_tomatoes_3,star3,0.6293365955352783,textual,False
173,metacritic_2,release_year,metacritic_3,release year,0.6290154457092285,numerical,True
174,rotten_tomatoes_1,Actors,rotten_tomatoes_3,star3,0.6284853219985962,textual,True
175,rotten_tomatoes_1,Director,walmart_1,directors,0.6276437640190125,textual,True
176,imdb_4,id,roger_ebert_1,id,0.6276345252990723,numerical,True
177,amazon_1,title,imdb_4,movie_name,0.627623975276947,textual,True
178,metacritic_1,_id,metacritic_4,_id,0.6274135708808899,numerical,True
179,metacritic_1,_id,tmdb_2,_id,0.6262918710708618,numerical,True
180,amazon_1,title,tmdb_3,title,0.6262553930282593,textual,True
181,metacritic_3,runtime,roger_ebert_1,duration,0.6256399154663086,textual,True
182,imdb_4,year,tmdb_4,year,0.6252923011779785,numerical,True
183,amazon_1,id,rotten_tomatoes_1,Id,0.6244044899940491,textual,True
184,imdb_1,Director,imdb_4,directors,0.6240544319152832,textual,True
185,rotten_tomatoes_1,Name,rotten_tomatoes_2,Title,0.6236931681632996,textual,True
186,imdb_2,director,roger_ebert_1,directors,0.6236894130706787,textual,True
187,imdb_4,id,metacritic_1,_id,0.623308539390564,numerical,True
188,imdb_1,Director,rotten_tomatoes_3,star1,0.6232720017433167,textual,False
189,imdb_4,movie_name,roger_ebert_1,movie_name,0.6219784617424011,textual,True
190,imdb_3,Duration,roger_ebert_1,duration,0.6216555833816528,textual,True
191,rotten_tomatoes_3,id,rotten_tomatoes_4,_id,0.6207523941993713,numerical,True
192,imdb_4,id,walmart_1,_id,0.6200252175331116,numerical,True
193,imdb_4,genre,metacritic_2,summary,0.6200041174888611,textual,False
194,metacritic_4,_id,tmdb_4,_id,0.619623601436615,numerical,True
195,imdb_3,Creators,rotten_tomatoes_2,Cast,0.6180729269981384,textual,False
196,imdb_3,Creators,rotten_tomatoes_3,star2,0.6171880960464478,textual,False
197,roger_ebert_1,movie_name,rotten_tomatoes_4,name,0.6169449090957642,textual,True
198,roger_ebert_1,id,rotten_tomatoes_1,Id,0.6163503527641296,textual,True
199,roger_ebert_1,id,tmdb_2,_id,0.6160238981246948,numerical,True
200,tmdb_2,subtext,tmdb_3,genres,0.6157950758934021,textual,False
201,amazon_1,year,imdb_4,year,0.6155992150306702,numerical,True
202,rotten_tomatoes_4,_id,walmart_1,_id,0.6149765849113464,numerical,True
203,metacritic_1,Name,tmdb_2,name,0.6149545311927795,textual,True
204,amazon_1,star,rotten_tomatoes_3,star1,0.6149070858955383,textual,True
205,imdb_2,actors,tmdb_1,writer(s),0.6146560311317444,textual,False
206,rotten_tomatoes_3,year,tmdb_2,year,0.6141929626464844,numerical,True
207,imdb_4,genre,roger_ebert_1,genre,0.6134982109069824,textual,True
208,metacritic_3,countries,rotten_tomatoes_1,Country,0.6131985187530518,textual,True
209,metacritic_1,Actors,tmdb_2,stars,0.613037645816803,textual,True
210,imdb_3,Title,rotten_tomatoes_1,Name,0.6121583580970764,textual,True
211,rotten_tomatoes_1,Year,rotten_tomatoes_3,year,0.6119298934936523,numerical,True
212,amazon_1,year,tmdb_2,year,0.6115061044692993,numerical,True
213,metacritic_3,genres,tmdb_3,genres,0.6111619472503662,textual,True
214,amazon_1,star,rotten_tomatoes_1,Director,0.6110767126083374,textual,False
215,tmdb_2,year,tmdb_4,year,0.6107431054115295,numerical,True
216,imdb_1,Cast,roger_ebert_1,actors,0.6099192500114441,textual,True
217,amazon_1,year,rotten_tomatoes_1,Year,0.6096618175506592,numerical,True
218,rotten_tomatoes_3,id,tmdb_3,_id,0.6091880202293396,numerical,True
219,rotten_tomatoes_1,Id,tmdb_2,_id,0.6091591119766235,textual,True
220,metacritic_3,writers,rotten_tomatoes_4,director,0.6090005040168762,textual,False
221,tmdb_3,genres,walmart_1,genre,0.6086432337760925,textual,True
222,imdb_2,year,metacritic_1,Year,0.607842206954956,numerical,True
223,imdb_1,Director,roger_ebert_1,directors,0.6075697541236877,textual,True
224,imdb_1,Name,rotten_tomatoes_1,Name,0.6069899201393127,textual,True
225,tmdb_2,director,tmdb_3,writers,0.6068224310874939,textual,False
226,metacritic_2,_id,tmdb_4,_id,0.6066457033157349,numerical,True
227,imdb_1,ContentRating,rotten_tomatoes_2,ContentRating,0.6063116192817688,textual,True
228,imdb_3,Cast,walmart_1,stars,0.6054797172546387,textual,True
229,imdb_3,Cast,tmdb_3,writers,0.6052685379981995,textual,False
230,metacritic_3,_id,roger_ebert_1,id,0.6048120260238647,numerical,True
231,metacritic_4,name,tmdb_2,name,0.604584276676178,textual,True
232,imdb_1,Cast,rotten_tomatoes_3,star5,0.603764533996582,textual,True
233,metacritic_1,Actors,metacritic_3,starring,0.6036457419395447,textual,True
234,imdb_2,actors,rotten_tomatoes_4,writer,0.6028403639793396,textual,False
235,imdb_1,Creator,rotten_tomatoes_1,Actors,0.602418839931488,textual,False
236,metacritic_2,title,tmdb_3,title,0.6023713946342468,textual,True
237,amazon_1,id,metacritic_3,_id,0.602267324924469,numerical,True
238,rotten_tomatoes_2,Creators,rotten_tomatoes_3,star3,0.6020949482917786,textual,False
239,imdb_4,movie_name,metacritic_1,Name,0.6019775867462158,textual,True
240,imdb_1,Id,tmdb_3,_id,0.6018232107162476,textual,True
241,imdb_3,Summary,rotten_tomatoes_2,ContentRating,0.601797342300415,textual,False
242,imdb_2,name,metacritic_2,title,0.6006807684898376,textual,True
243,imdb_4,actors,metacritic_1,Actors,0.6001455187797546,textual,True
244,amazon_1,title,roger_ebert_1,movie_name,0.5997973084449768,textual,True
245,metacritic_4,_id,walmart_1,_id,0.5996647477149963,numerical,True
246,imdb_4,actors,rotten_tomatoes_2,Creators,0.5991507172584534,textual,False
247,tmdb_2,name,walmart_1,name,0.5989820957183838,textual,True
248,metacritic_2,title,metacritic_4,name,0.5989090204238892,textual,True
249,roger_ebert_1,directors,tmdb_3,directors,0.5985624194145203,textual,True
250,metacritic_1,_id,rotten_tomatoes_4,_id,0.5985109806060791,numerical,True
251,metacritic_1,Name,metacritic_3,title,0.5984225273132324,textual,True
252,imdb_3,ID,tmdb_2,_id,0.5972661375999451,textual,True
253,imdb_2,actors,walmart_1,stars,0.5959489345550537,textual,True
254,imdb_1,Id,rotten_tomatoes_2,ID,0.59578937292099,textual,True
255,metacritic_4,_id,tmdb_3,_id,0.5957218408584595,numerical,True
256,imdb_1,Cast,imdb_4,actors,0.5955508351325989,textual,True
257,imdb_4,movie_name,metacritic_4,name,0.5954914689064026,textual,True
258,imdb_3,Creators,rotten_tomatoes_3,star4,0.594855010509491,textual,False
259,rotten_tomatoes_1,Cast,rotten_tomatoes_3,star5,0.5934567451477051,textual,True
260,imdb_4,directors,roger_ebert_1,directors,0.5932285785675049,textual,True
261,metacritic_1,Genre,metacritic_3,genres,0.59322190284729,textual,True
262,tmdb_2,director,walmart_1,directors,0.5930919051170349,textual,True
263,metacritic_4,_id,rotten_tomatoes_2,ID,0.5929784178733826,textual,True
264,amazon_1,title,metacritic_2,title,0.5926043391227722,textual,True
265,imdb_3,Creators,walmart_1,stars,0.592600405216217,textual,False
266,metacritic_1,_id,rotten_tomatoes_1,Id,0.5921763777732849,textual,True
267,rotten_tomatoes_3,year,tmdb_3,year,0.5920854806900024,numerical,True
268,imdb_1,Id,metacritic_4,_id,0.5917342305183411,textual,True
269,imdb_1,Genre,rotten_tomatoes_1,Genre,0.5907410979270935,textual,True
270,amazon_1,id,metacritic_2,_id,0.5897512435913086,numerical,True
271,metacritic_3,starring,rotten_tomatoes_4,star,0.588835597038269,textual,True
272,metacritic_4,name,tmdb_3,title,0.5883350372314453,textual,True
273,roger_ebert_1,year,tmdb_1,year,0.5881025195121765,numerical,True
274,imdb_1,Cast,rotten_tomatoes_1,Actors,0.5880308151245117,textual,True
275,rotten_tomatoes_4,writer,walmart_1,stars,0.5877523422241211,textual,False
276,amazon_1,star,walmart_1,directors,0.5876827239990234,textual,False
277,metacritic_1,Director,walmart_1,directors,0.5872054100036621,textual,True
278,imdb_1,Id,tmdb_2,_id,0.5863863229751587,textual,True
279,metacritic_3,starring,rotten_tomatoes_3,star4,0.5863076448440552,textual,True
280,amazon_1,id,walmart_1,_id,0.5855003595352173,numerical,True
281,rotten_tomatoes_4,star,tmdb_3,writers,0.5854073166847229,textual,False
282,rotten_tomatoes_1,Director,tmdb_3,directors,0.5841758251190186,textual,True
283,metacritic_3,_id,rotten_tomatoes_1,Id,0.5833861231803894,textual,True
284,metacritic_3,rating,tmdb_3,genres,0.5825091004371643,textual,False
285,metacritic_3,starring,rotten_tomatoes_1,Creator,0.5824467539787292,textual,False
286,imdb_4,id,metacritic_4,_id,0.5822927355766296,numerical,True
287,imdb_3,Creators,metacritic_1,Actors,0.582263171672821,textual,False
288,amazon_1,year,metacritic_2,release_year,0.5820217728614807,numerical,True
289,rotten_tomatoes_4,name,walmart_1,name,0.5815809965133667,textual,True
290,roger_ebert_1,actors,tmdb_3,writers,0.5814207196235657,textual,False
291,amazon_1,director,rotten_tomatoes_3,director,0.5811216235160828,textual,True
292,tmdb_3,year,tmdb_4,year,0.5805470943450928,numerical,True
293,imdb_4,id,rotten_tomatoes_3,id,0.5800592303276062,numerical,True
294,roger_ebert_1,id,rotten_tomatoes_4,_id,0.5785599946975708,numerical,True
295,imdb_2,name,roger_ebert_1,movie_name,0.5778270959854126,textual,True
296,imdb_2,name,tmdb_2,name,0.5778237581253052,textual,True
297,imdb_1,Genre,tmdb_2,genres,0.5775922536849976,textual,True
298,rotten_tomatoes_2,Cast,tmdb_3,writers,0.5772512555122375,textual,False
299,imdb_3,Cast,rotten_tomatoes_3,star5,0.5770648121833801,textual,True
300,amazon_1,time,rotten_tomatoes_3,time,0.5765314102172852,textual,True
301,roger_ebert_1,actors,rotten_tomatoes_1,Creator,0.5764650106430054,textual,False
302,amazon_1,star,tmdb_3,directors,0.5763857960700989,textual,False
303,roger_ebert_1,directors,rotten_tomatoes_1,Director,0.5762472748756409,textual,True
304,metacritic_1,Genre,tmdb_2,genres,0.5754941701889038,textual,True
305,imdb_1,YearRange,metacritic_2,release_year,0.5752359628677368,textual,True
306,metacritic_2,release_year,rotten_tomatoes_1,Year,0.5747559070587158,numerical,True
307,metacritic_3,release year,rotten_tomatoes_3,year,0.5741146206855774,numerical,True
308,metacritic_2,title,tmdb_2,name,0.5737233757972717,textual,True
309,metacritic_1,Genre,metacritic_4,genre,0.5735061168670654,textual,True
310,roger_ebert_1,pg_rating,rotten_tomatoes_2,ContentRating,0.5734323263168335,textual,True
311,rotten_tomatoes_1,Actors,rotten_tomatoes_3,star2,0.5733919143676758,textual,True
312,metacritic_1,Director,metacritic_3,writers,0.5724843740463257,textual,False
313,imdb_3,Creators,rotten_tomatoes_4,star,0.5720486044883728,textual,False
314,imdb_1,Creator,tmdb_3,writers,0.571810245513916,textual,True
315,metacritic_1,Director,tmdb_2,director,0.57156902551651,textual,True
316,imdb_1,YearRange,tmdb_3,year,0.5715181827545166,textual,True
317,imdb_3,Cast,rotten_tomatoes_2,Creators,0.5707986950874329,textual,False
318,rotten_tomatoes_1,Cast,rotten_tomatoes_3,star3,0.5707337260246277,textual,True
319,imdb_1,Creator,metacritic_1,Actors,0.5695041418075562,textual,False
320,roger_ebert_1,id,tmdb_4,_id,0.5693073868751526,numerical,True
321,metacritic_1,Name,walmart_1,name,0.5692824125289917,textual,True
322,rotten_tomatoes_4,genre,tmdb_2,genres,0.5691169500350952,textual,True
323,imdb_2,name,tmdb_3,title,0.5680845975875854,textual,True
324,imdb_4,directors,tmdb_4,directors,0.5679338574409485,textual,True
325,imdb_1,Duration,metacritic_4,duration,0.5673741698265076,textual,True
326,metacritic_1,Actors,rotten_tomatoes_2,Creators,0.5669415593147278,textual,False
327,amazon_1,director,rotten_tomatoes_1,Director,0.5662678480148315,textual,True
328,rotten_tomatoes_2,Creators,rotten_tomatoes_3,star2,0.5662236213684082,textual,False
329,roger_ebert_1,actors,rotten_tomatoes_4,star,0.5660490989685059,textual,True
330,metacritic_3,writers,walmart_1,directors,0.5653710961341858,textual,False
331,amazon_1,id,rotten_tomatoes_4,_id,0.5652101039886475,numerical,True
332,imdb_4,duration,metacritic_3,runtime,0.5650069713592529,textual,True
333,roger_ebert_1,actors,rotten_tomatoes_1,Actors,0.5648775696754456,textual,True
334,roger_ebert_1,actors,rotten_tomatoes_3,star3,0.5647108554840088,textual,True
335,amazon_1,star,tmdb_2,director,0.5638747811317444,textual,False
336,imdb_1,Cast,rotten_tomatoes_1,Cast,0.5635261535644531,textual,True
337,imdb_1,Id,metacritic_1,_id,0.5634019374847412,textual,True
338,metacritic_3,title,metacritic_4,name,0.5633291602134705,textual,True
339,metacritic_4,director,roger_ebert_1,directors,0.5630138516426086,textual,True
340,tmdb_2,stars,tmdb_3,writers,0.562882661819458,textual,False
341,imdb_4,id,rotten_tomatoes_1,Id,0.5622363090515137,textual,True
342,imdb_4,movie_name,rotten_tomatoes_4,name,0.5603327751159668,textual,True
343,rotten_tomatoes_3,title,tmdb_2,name,0.5590093731880188,textual,True
344,rotten_tomatoes_4,name,tmdb_2,name,0.5588957071304321,textual,True
345,imdb_1,Id,imdb_4,id,0.5579004287719727,textual,True
346,rotten_tomatoes_2,Director,tmdb_3,directors,0.5578216314315796,textual,True
347,imdb_4,duration,rotten_tomatoes_2,Duration,0.5571259260177612,textual,True
348,tmdb_3,_id,tmdb_4,_id,0.556106686592102,numerical,True
349,metacritic_1,Genre,walmart_1,genre,0.5559360980987549,textual,True
350,imdb_4,movie_rating,rotten_tomatoes_1,RatingValue,0.5559166073799133,numerical,True
351,imdb_1,Genre,imdb_4,genre,0.5557745695114136,textual,True
352,imdb_4,genre,tmdb_2,genres,0.5554022789001465,textual,True
353,imdb_4,genre,metacritic_1,Genre,0.5549646615982056,textual,True
354,amazon_1,title,rotten_tomatoes_4,name,0.5546570420265198,textual,True
355,imdb_4,actors,rotten_tomatoes_2,Cast,0.554347038269043,textual,True
356,metacritic_1,Actors,rotten_tomatoes_1,Actors,0.5534170866012573,textual,True
357,metacritic_1,_id,metacritic_2,_id,0.5532938838005066,numerical,True
358,metacritic_3,director,walmart_1,directors,0.5514861941337585,textual,True
359,metacritic_1,_id,rotten_tomatoes_3,id,0.5510085821151733,numerical,True
360,metacritic_3,_id,rotten_tomatoes_3,id,0.550410807132721,numerical,True
361,rotten_tomatoes_4,director,walmart_1,directors,0.5502597093582153,textual,True
362,imdb_1,Creator,walmart_1,stars,0.54999840259552,textual,False
363,rotten_tomatoes_2,Creators,tmdb_3,writers,0.549125611782074,textual,True
364,metacritic_4,duration,tmdb_2,stars,0.547919511795044,textual,False
